Module,Name,Description/Notes,Link,PN,Dimensions,Price Per,Quanitity per box,Quantity total,Price per Box,Price for all,,,Number of boxes,Extra box components,
Box Con,,M12 panel (MUST ORDER 50 for qt discount!),,1195-4108-ND,,$10.76,16,16,$172.22,$172.22,,,,,
,,,,,,,,,,,,,,,
Sensor Cables,,M12 cable 2m **get 10 for qt discount,,1195-6206-ND,,$13.32,3,3,$39.96,$39.96,,,,,
Sensor Cables,,M12 cable 5m,,1195-6207-ND,,$16.33,10,10,$163.28,$163.28,,,,,
Sensor Cables,,M12 cable 10m **get 10 for qt discount,,1195-6208-ND,,$23.26,3,3,$69.79,$69.79,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sensors,Temperature and humidity sensor,Grove sensor board - mount in box,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=255062838&uq=636567951937632056,1597-1124-ND,,$6.02,4,4,$24.08,$24.08,,,,,
Sensors,Temperature and humidity sensor,Grove sensor board - External,https://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=255062838&uq=636567951937632056,1597-1124-ND,,$6.02,4,4,$24.08,$24.08,,,,,
Sensors,Liquid level sensor,"Dwyer submersible probe, 4-20 mA output",https://www.dwyer-inst.com/products/product.cfm?Group_ID=616#ordering,SBLT2-3.5M-5M,,$228.50,0,0,$0.00,$0.00,,,,,
Sensors,Soil Humidity Sensor,Grove sensor board - External,https://www.digikey.com/product-detail/en/seeed-technology-co-ltd/101020008/1597-1141-ND/5482619,1597-1141-ND,,$5.00,4,4,$20.00,$20.00,,,,,
Sensors,Barometer,Grove sensor board - mount in box,https://www.digikey.com/product-detail/en/seeed-technology-co-ltd/101020192/1597-1386-ND/6131524,1597-1386-ND,,$9.08,4,4,$36.32,$36.32,,,,,
Sensors,RTD Probe,"10"", M12 Mount probe - External",https://www.digikey.com/product-detail/en/adafruit-industries-llc/3290/1528-2090-ND/6560922,1528-2090-ND,,$11.95,8,8,$95.60,$95.60,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
Sensors,,,,,,,,0,$0.00,0,,,,,
,,,,,,,,,,0,,,,,
,,,,,,,Total,,"$1,374.93","$1,374.93",,,,,
